customer_id,product_id,rating,timestamp
C0102,P013,1,2023-01-01 00:00:00
C0435,P026,2,2023-01-01 01:00:00
C0860,P028,1,2023-01-01 02:00:00
C0270,P038,3,2023-01-01 03:00:00
C0106,P038,2,2023-01-01 04:00:00
C0071,P000,4,2023-01-01 05:00:00
C0700,P016,5,2023-01-01 06:00:00
C0020,P040,3,2023-01-01 07:00:00
C0614,P029,2,2023-01-01 08:00:00
C0121,P012,1,2023-01-01 09:00:00
C0466,P020,5,2023-01-01 10:00:00
C0214,P018,1,2023-01-01 11:00:00
C0330,P018,2,2023-01-01 12:00:00
C0458,P024,2,2023-01-01 13:00:00
C0087,P021,3,2023-01-01 14:00:00
C0372,P030,4,2023-01-01 15:00:00
C0099,P016,1,2023-01-01 16:00:00
C0871,P022,3,2023-01-01 17:00:00
C0663,P031,5,2023-01-01 18:00:00
C0130,P009,4,2023-01-01 19:00:00
C0661,P009,3,2023-01-01 20:00:00
C0308,P035,1,2023-01-01 21:00:00
C0769,P007,2,2023-01-01 22:00:00
C0343,P019,5,2023-01-01 23:00:00
C0491,P031,1,2023-01-02 00:00:00
C0413,P049,4,2023-01-02 01:00:00
C0805,P013,4,2023-01-02 02:00:00
C0385,P049,2,2023-01-02 03:00:00
C0191,P027,2,2023-01-02 04:00:00
C0955,P045,5,2023-01-02 05:00:00
C0276,P023,5,2023-01-02 06:00:00
C0160,P014,2,2023-01-02 07:00:00
C0459,P021,2,2023-01-02 08:00:00
C0313,P029,4,2023-01-02 09:00:00
C0021,P003,2,2023-01-02 10:00:00
C0252,P012,3,2023-01-02 11:00:00
C0747,P022,1,2023-01-02 12:00:00
C0856,P007,2,2023-01-02 13:00:00
C0560,P017,5,2023-01-02 14:00:00
C0474,P011,3,2023-01-02 15:00:00
C0058,P030,5,2023-01-02 16:00:00
C0510,P013,3,2023-01-02 17:00:00
C0681,P033,2,2023-01-02 18:00:00
C0475,P017,1,2023-01-02 19:00:00
C0699,P033,5,2023-01-02 20:00:00
C0975,P010,3,2023-01-02 21:00:00
C0782,P040,4,2023-01-02 22:00:00
C0189,P011,2,2023-01-02 23:00:00
C0957,P048,1,2023-01-03 00:00:00
C0686,P014,2,2023-01-03 01:00:00
C0957,P030,4,2023-01-03 02:00:00
C0562,P048,1,2023-01-03 03:00:00
C0875,P028,4,2023-01-03 04:00:00
C0566,P025,2,2023-01-03 05:00:00
C0243,P017,3,2023-01-03 06:00:00
C0831,P031,2,2023-01-03 07:00:00
C0504,P021,2,2023-01-03 08:00:00
C0130,P037,2,2023-01-03 09:00:00
C0484,P016,5,2023-01-03 10:00:00
C0818,P022,4,2023-01-03 11:00:00
C0646,P023,4,2023-01-03 12:00:00
C0020,P049,4,2023-01-03 13:00:00
C0840,P007,5,2023-01-03 14:00:00
C0166,P040,3,2023-01-03 15:00:00
C0273,P005,2,2023-01-03 16:00:00
C0387,P004,3,2023-01-03 17:00:00
C0600,P043,5,2023-01-03 18:00:00
C0315,P028,4,2023-01-03 19:00:00
C0013,P027,2,2023-01-03 20:00:00
C0241,P010,1,2023-01-03 21:00:00
C0776,P000,1,2023-01-03 22:00:00
C0345,P042,3,2023-01-03 23:00:00
C0564,P018,4,2023-01-04 00:00:00
C0897,P008,1,2023-01-04 01:00:00
C0339,P026,3,2023-01-04 02:00:00
C0091,P033,5,2023-01-04 03:00:00
